Id,Label,Modularity_Class,Pageranks,Filter,Level1,Liste2,25nisan,X,Y,Size,Color
371308350,,19,1.5E-05,false,,,,0.422871,0.773989,0.001593,#ffd3ff
,,,,,,,,,,,
2098661576,,28,1.5E-05,false,,,,0.461051,0.661616,0.001697,#ffec75
,,,,,,,,,,,
236297473,,19,1.4E-05,false,,,,0.393031,0.733267,0.001026,#ffd3ff
,,,,,,,,,,,
4168966540,,17,1.4E-05,false,,,,0.308043,0.495406,0.000507,#ffedad
,,,,,,,,,,,
8255792467,,17,1.3E-05,false,,,,0.353948,0.659386,0.000404,#ffedad
,,,,,,,,,,,
7969329817,,34,1.4E-05,false,,,,0.256842,0.54095,0.000757,#ff9891
,,,,,,,,,,,
54875916179,,47,1.4E-05,false,,,,0.344824,0.436678,0.00127,#8bffce
,,,,,,,,,,,
46865271129,,41,1.4E-05,false,,,,0.330391,0.508429,0.000487,#7ab992
,,,,,,,,,,,
7882235580,,17,1.4E-05,false,,,,0.269185,0.642092,0.001243,#ffedad
,,,,,,,,,,,
10368157999,,37,1.4E-05,false,,,,0.315048,0.57245,0.000844,#93c6e8
,,,,,,,,,,,
222068325,,15,1.3E-05,false,,,,0.251379,0.676157,0.000214,#d6c864
,,,,,,,,,,,
52210354795,,28,1.6E-05,false,,,,0.351255,0.550948,0.002624,#ffec75
,,,,,,,,,,,
8167756225,,27,1.4E-05,false,,,,0.319292,0.665884,0.000668,#e69cbb
,,,,,,,,,,,
8500703860,,5,1.4E-05,false,,,,0.411602,0.643524,0.00089,#b9b0aa
,,,,,,,,,,,
57450983833,,28,1.5E-05,false,,,,0.416097,0.460393,0.001772,#ffec75
,,,,,,,,,,,
174006527,,34,1.7E-05,false,,,,0.324522,0.536178,0.004382,#ff9891
,,,,,,,,,,,
6730290614,,17,1.3E-05,false,,,,0.258882,0.736299,0.0004,#ffedad
,,,,,,,,,,,
19618798366,,17,1.7E-05,false,,,,0.387728,0.619744,0.004107,#ffedad
,,,,,,,,,,,
1732827929,,19,1.4E-05,false,,,,0.441206,0.652286,0.001451,#ffd3ff
,,,,,,,,,,,
6590310989,,37,1.3E-05,false,,,,0.350574,0.664757,0.000283,#93c6e8
,,,,,,,,,,,
51936529655,,27,1.4E-05,false,,,,0.335297,0.610329,0.001299,#e69cbb
,,,,,,,,,,,
50271652812,,8,1.4E-05,false,,,,0.33281,0.59726,0.001347,#ffd1a2
,,,,,,,,,,,
1591623560,,34,1.4E-05,false,,,,0.331838,0.493349,0.001502,#ff9891
,,,,,,,,,,,
50328280370,,19,1.5E-05,false,,,,0.297085,0.7336,0.001798,#ffd3ff
,,,,,,,,,,,
1127065789,,19,1.4E-05,false,,,,0.345923,0.776383,0.000812,#ffd3ff
,,,,,,,,,,,
49707359605,,12,1.4E-05,false,,,,0.283684,0.595091,0.00066,#a6af93
,,,,,,,,,,,
10700354739,,17,1.7E-05,false,,,,0.310197,0.523204,0.004104,#ffedad
,,,,,,,,,,,
46269981547,,17,1.4E-05,false,,,,0.359551,0.402576,0.001017,#ffedad
,,,,,,,,,,,
7372461683,,19,1.4E-05,false,,,,0.327476,0.784967,0.000993,#ffd3ff
,,,,,,,,,,,
2200802445,,5,1.4E-05,false,,,,0.446819,0.683866,0.000744,#b9b0aa
,,,,,,,,,,,
44950000980,,19,1.7E-05,false,,,,0.349975,0.692222,0.003739,#ffd3ff
,,,,,,,,,,,
4787492756,,19,1.3E-05,false,,,,0.292826,0.76014,0.000444,#ffd3ff
,,,,,,,,,,,
52505090036,,19,1.4E-05,false,,,,0.272063,0.693325,0.00061,#ffd3ff
,,,,,,,,,,,
8588956725,,5,1.6E-05,false,,,,0.405617,0.687914,0.003085,#b9b0aa
,,,,,,,,,,,
358375355,,19,1.5E-05,false,,,,0.363116,0.748842,0.00218,#ffd3ff
,,,,,,,,,,,
41864249046,,19,1.4E-05,false,,,,0.345107,0.761586,0.000834,#ffd3ff
,,,,,,,,,,,
29559985324,,19,1.5E-05,false,,,,0.2922,0.724346,0.001568,#ffd3ff
,,,,,,,,,,,
54820020978,,34,1.4E-05,false,,,,0.280693,0.529724,0.000706,#ff9891
,,,,,,,,,,,
929311274,,19,1.7E-05,false,,,,0.399686,0.792936,0.004026,#ffd3ff
,,,,,,,,,,,
200857411,,29,1.4E-05,false,,,,0.382554,0.64816,0.0009,#d6acd2
,,,,,,,,,,,
1534893163,,19,1.4E-05,false,,,,0.299618,0.792142,0.001458,#ffd3ff
,,,,,,,,,,,
58560131058,,18,1.4E-05,false,,,,0.259337,0.685193,0.001046,#a5d0bc
,,,,,,,,,,,
46643713720,,19,1.5E-05,false,,,,0.29807,0.778106,0.001833,#ffd3ff
,,,,,,,,,,,
51960149647,,17,1.4E-05,false,,,,0.298782,0.700615,0.000591,#ffedad
,,,,,,,,,,,
20350863664,,5,1.4E-05,false,,,,0.45767,0.680157,0.000647,#b9b0aa
,,,,,,,,,,,
27625037302,,17,1.5E-05,false,,,,0.262567,0.625841,0.001817,#ffedad
,,,,,,,,,,,
45631265203,,4,1.4E-05,false,,,,0.26315,0.374012,0.000542,#ffd78a
,,,,,,,,,,,
309884654,,17,1.4E-05,false,,,,0.36313,0.656791,0.00143,#ffedad
,,,,,,,,,,,
8177940483,,19,1.4E-05,false,,,,0.437297,0.782332,0.000807,#ffd3ff
,,,,,,,,,,,
35917514282,reyhomehali,19,2.1E-05,true,,,,0.387299,0.726398,0.00797,#ffd3ff
,,,,,,,,,,,
33860858987,,17,1.5E-05,false,,,,0.28532,0.596262,0.002028,#ffedad
,,,,,,,,,,,
57707901611,,17,1.4E-05,false,,,,0.346196,0.579751,0.000809,#ffedad
,,,,,,,,,,,
20322444406,,34,1.5E-05,false,,,,0.302082,0.476913,0.002206,#ff9891
,,,,,,,,,,,
17786579034,,34,1.5E-05,false,,,,0.294709,0.586605,0.002469,#ff9891
,,,,,,,,,,,
52295722249,,34,1.4E-05,false,,,,0.272244,0.632863,0.001075,#ff9891
,,,,,,,,,,,
48415345501,,17,1.4E-05,false,,,,0.235271,0.623043,0.000766,#ffedad
,,,,,,,,,,,
6731892699,,19,1.4E-05,false,,,,0.270551,0.637766,0.000687,#ffd3ff
,,,,,,,,,,,
36125855895,,19,1.4E-05,false,,,,0.317488,0.72842,0.00114,#ffd3ff
,,,,,,,,,,,
1733386676,,19,1.4E-05,false,,,,0.379427,0.751603,0.000923,#ffd3ff
,,,,,,,,,,,
5763506343,,34,1.7E-05,false,,,,0.328307,0.521257,0.0037,#ff9891
,,,,,,,,,,,
56025633586,,28,1.4E-05,false,,,,0.302012,0.573131,0.000955,#ffec75
,,,,,,,,,,,
487362271,,7,1.5E-05,false,,,,0.403728,0.58523,0.001645,#acd376
,,,,,,,,,,,
